Total examples with errors: 249 out of 253 (98.42%)

Example 0:
Sentence: Systems supporting OM must provide the ability to publish investigation - specific questionnaires and implementation guides .
Tokens with errors (true -> predicted):
  **Systems (O -> B-actor)**
  receives (O -> O)
  the (O -> O)
  **3- (O -> B-usecase)**
  digit (O -> O)
  sequence (O -> O)
  “ (O -> O)
  # (O -> O)
  **# (O -> B-actor)**
  # (O -> O)
  ” (O -> O)
  transmitted (O -> O)
  **via (O -> B-actor)**
  **DTMF (O -> B-usecase)**
  or (O -> O)
  **the (O -> B-actor)**
  group (O -> O)
  call (O -> O)
  SETUP (O -> O)
  message2 (O -> O)
  **from (O -> B-actor)**
  a (O -> O)
  controller (O -> O)
  terminal (O -> O)
  . (O -> O)
  However (O -> O)
  , (O -> O)
  receiving (O -> O)
  the (O -> O)
  3 (O -> O)
  - (O -> O)
  digit (O -> O)
  sequence (O -> O)
  “ (O -> O)
  # (O -> O)
  **# (O -> B-actor)**
  # (O -> O)
  ” (O -> O)
  or (O -> O)
  the (O -> O)
  group (O -> O)
  call (O -> O)
  SETUP (O -> O)
  message (O -> O)
  **related (O -> B-actor)**
  to (O -> O)
  **an (O -> B-usecase)**
  additional (O -> O)
  controller (O -> O)
  while (O -> O)
  any (O -> O)
  other (O -> O)
  controller (O -> O)
  is (O -> O)
  talking (O -> O)
  **shall (O -> B-usecase)**
  **not (O -> I-usecase)**
  result (O -> O)
  in (O -> O)
  **sending (O -> B-usecase)**
  another (O -> O)
  SET (O -> O)
  - (O -> O)
  **PARAMETER (O -> B-actor)**
  message (O -> O)
  with (O -> O)
  the (O -> O)
  attribute (O -> O)
  “ (O -> O)
  DATT (O -> O)
  **= (O -> B-actor)**
  **T (O -> I-actor)**
  **” (O -> I-actor)**
  **. (O -> I-actor)**
  **( (O -> I-actor)**
  M (O -> O)
  ) (O -> O)

Example 5:
Sentence: Only the development systems are considered here . Installed systems are to be chosen later , based on available technology and experiences with the development systems .
Tokens with errors (true -> predicted):
  Only (O -> O)
  the (O -> O)
  development (O -> O)
  systems (O -> O)
  **are (O -> B-usecase)**
  **considered (O -> I-usecase)**
  here (O -> O)
  . (O -> O)
  **Installed (O -> B-usecase)**
  systems (O -> O)
  **are (O -> B-usecase)**
  to (O -> O)
  **be (O -> B-usecase)**
  **chosen (O -> I-usecase)**
  later (O -> O)
  , (O -> O)
  **based (O -> B-usecase)**
  on (O -> O)
  available (O -> O)
  technology (O -> O)
  and (O -> O)
  experiences (O -> O)
  with (O -> O)
  the (O -> O)
  development (O -> O)
  systems (O -> O)
  . (O -> O)

Example 6:
Sentence: Reports generated by systems supporting OM should clearly indicate the number of cases , the number of contacts per case , the number of cases with no known epi - link at the time of diagnosis , the laboratory results , and the number of vaccinations and/or treatments administered .
Tokens with errors (true -> predicted):
  Reports (O -> O)
  **generated (O -> B-usecase)**
  by (O -> O)
  systems (O -> O)
  supporting (O -> O)
  **OM (O -> B-actor)**
  should (O -> O)
  clearly (O -> O)
  **indicate (O -> B-usecase)**
  the (O -> O)
  number (O -> O)
  of (O -> O)
  cases (O -> O)
  , (O -> O)
  the (O -> O)
  number (O -> O)
  of (O -> O)
  contacts (O -> O)
  per (O -> O)
  case (O -> O)
  , (O -> O)
  the (O -> O)
  number (O -> O)
  of (O -> O)
  cases (O -> O)
  with (O -> O)
  no (O -> O)
  **known (O -> B-usecase)**
  epi (O -> O)
  - (O -> O)
  link (O -> O)
  at (O -> O)
  the (O -> O)
  time (O -> O)
  of (O -> O)
  diagnosis (O -> O)
  , (O -> O)
  the (O -> O)
  laboratory (O -> O)
  results (O -> O)
  , (O -> O)
  and (O -> O)
  the (O -> O)
  number (O -> O)
  of (O -> O)
  vaccinations (O -> O)
  **and/or (O -> B-usecase)**
  treatments (O -> O)
  **administered (O -> B-usecase)**
  . (O -> O)

Example 7:
Sentence: Stop the game
Tokens with errors (true -> predicted):
  Stop (B-usecase -> B-usecase)
  **the (I-usecase -> O)**
  **game (I-usecase -> O)**

Example 8:
Sentence: The General purpose radio should comply with [ EN 50081 ] ( generic EMC for residential , commercial and light industry ) . ( O )
Tokens with errors (true -> predicted):
  The (O -> O)
  **General (O -> B-actor)**
  purpose (O -> O)
  radio (O -> O)
  should (O -> O)
  **comply (O -> B-usecase)**
  with (O -> O)
  **[ (O -> B-actor)**
  **EN (O -> I-actor)**
  50081 (O -> O)
  **] (O -> B-actor)**
  ( (O -> O)
  generic (O -> O)
  **EMC (O -> B-actor)**
  for (O -> O)
  residential (O -> O)
  , (O -> O)
  commercial (O -> O)
  and (O -> O)
  light (O -> O)
  industry (O -> O)
  ) (O -> O)
  . (O -> O)
  ( (O -> O)
  **O (O -> B-actor)**
  ) (O -> O)

Example 9:
Sentence: Once an appropriate number has been obtained , the radio shall initiate a call to this number with ‘ Railway operation ’ priority ( see section 10.2 ) . Any functional number associated with the user shall be passed to the network using UUS1 ( see section 11.5 ) . ( M )
Tokens with errors (true -> predicted):
  Once (O -> O)
  an (O -> O)
  appropriate (O -> O)
  number (O -> O)
  **has (O -> B-usecase)**
  **been (O -> I-usecase)**
  **obtained (O -> I-usecase)**
  , (O -> O)
  the (O -> O)
  radio (O -> O)
  shall (O -> O)
  **initiate (O -> B-usecase)**
  a (O -> O)
  call (O -> O)
  to (O -> O)
  this (O -> O)
  number (O -> O)
  with (O -> O)
  ‘ (O -> O)
  **Railway (O -> B-actor)**
  operation (O -> O)
  **’ (O -> B-actor)**
  priority (O -> O)
  ( (O -> O)
  **see (O -> B-usecase)**
  **section (O -> I-usecase)**
  10.2 (O -> O)
  ) (O -> O)
  . (O -> O)
  Any (O -> O)
  functional (O -> O)
  number (O -> O)
  **associated (O -> B-usecase)**
  with (O -> O)
  the (O -> O)
  user (O -> O)
  shall (O -> O)
  **be (O -> B-usecase)**
  **passed (O -> I-usecase)**
  to (O -> O)
  the (O -> O)
  network (O -> O)
  using (O -> O)
  **UUS1 (O -> B-actor)**
  ( (O -> O)
  **see (O -> B-usecase)**
  **section (O -> I-usecase)**
  11.5 (O -> O)
  ) (O -> O)
  . (O -> O)
  ( (O -> O)
  **M (O -> B-actor)**
  ) (O -> O)

